month,VolumeTo
52046-04,503188568.8363578
52049-01,569652869.8196837
52051-10,425779010.4065367
52054-07,268137739.9933375
52057-04,428064088.6904683
52060-01,476379993.49247247
52062-09,491136137.2107625
52065-06,613540574.7818311
52068-03,631245079.8223813
52070-12,430744860.1814393
52073-09,427781790.200816
52076-06,437441704.9053964
52079-03,590091358.442907
52081-11,624970415.4054741
52084-08,629756037.5160786
52087-05,815507473.735361
52090-02,482455622.003626
52092-11,580845331.1747848
52095-08,592584876.9040861
52098-05,680009637.6159953
52101-01,696870122.812608
52103-10,547679966.9292257
52106-07,576020107.4626018
52109-04,408286949.8035292
52112-01,237544283.22525856
52114-10,371815095.46744496
52117-07,542081527.6408329
52120-03,514946930.5660231
52122-12,830717784.3790948
52125-09,636955872.7625463
52128-06,615664817.0103912
52131-03,318585951.9885324
52133-12,375729315.25408256
52136-09,528906629.5628192
52139-05,484181096.3229558
52142-02,338849891.95293546
52144-11,524102029.20478296
52147-08,397598476.42056286
52150-05,409983263.789138
52153-02,656931544.7821604
52155-11,918787729.0855838
52158-07,689700153.4490932
52161-04,624465167.3648188
52164-01,1628590104.222213
52166-10,2063819540.638995
52169-07,736651880.9210789
52172-04,753755706.4268771
52175-01,1113690309.1015868
52177-09,793147908.2684975
52180-06,719748122.45302
52183-03,1164739707.514236
52185-12,1401734013.175202
52188-09,794962136.6384171
52191-06,722895653.5100614
52194-03,1015525672.0743864
52196-11,1001890515.2399888
52199-08,880250736.9079887
52202-05,552537189.4793514
52205-02,551326113.8552039
52207-11,577986706.1289365
52210-08,383707122.50096285
52213-05,747569726.4544197
52216-01,465780496.6224872
52218-10,618527468.834164
52221-07,1014494762.4416424
52224-04,710254017.100272
52227-01,495076283.5209042
52229-10,337062083.002028
52232-07,837357664.6519214
52235-03,757201786.6976631
52237-12,555122600.275026
52240-09,444741085.9037586
52243-06,727281590.7719399
52246-03,311699573.516674
52248-12,516235035.1865113
52251-08,649390681.2485026
52254-05,474794776.19211113
52257-02,416947490.61569566
52259-11,865277543.3946935
52262-08,382334236.1694789
52265-05,354845083.7761889
52268-02,326485586.9317384
52270-10,629612368.7476892
52273-07,411800606.08159715
52276-04,431271646.1755991
52279-01,756320213.5858521
52281-10,452118137.7940016
52284-07,331292050.77197313
52287-04,384202783.2747096
52289-12,504025811.6512536
52292-09,357391780.9307627
52295-06,1536390177.0449488
52298-03,1839283907.4625196
52300-12,805640126.6308703
52303-09,523838859.5442492
52306-06,808427095.9321591
52309-02,738343818.6939254
52311-11,683083018.8779808
52314-08,972793508.4649074
52317-05,1409783462.006364
52320-02,997005843.7404792
52322-11,795001351.6797024
52325-08,1594996476.9756367
52328-04,1468392820.7608037
52331-01,760195457.0509585
52333-10,839725719.9602077
52336-07,1247456797.8136663
52339-04,1099721375.8919055
52342-01,560547005.0259086
52344-10,663088800.815278
52347-06,797622297.3261682
52350-03,760713946.0085461
52352-12,721190802.7634026
52355-09,1002046265.9412596
52358-06,537847834.4967086
52361-03,400407195.6289224
52363-12,636787240.3733248
52366-08,553545285.9140139
52369-05,516455128.890688
52372-02,624660855.7800369
52374-11,693930106.1813825
52377-08,542758086.6064701
52380-05,530598690.0714505
52383-01,461272298.85252047
52385-10,749707596.6593573
52388-07,1070060237.1302092
52391-04,441928818.0430156
52394-01,557234945.6467389
52396-10,465200788.2036338
52399-07,315604867.236149
52402-04,556919603.7915448
52404-12,395459395.8213373
52407-09,447208895.8386984
52410-06,462384305.3511994
52413-03,902075648.5453848
52415-12,472007894.37567526
52418-09,261673162.2584724
52421-05,282131272.3800662
52424-02,793518842.5509843
52426-11,494458269.13979113
52429-08,453209812.22578067
52432-05,351649555.0725387
52435-02,423086965.1927383
52437-11,282120360.5567526
52440-07,227467940.6102112
52443-04,550995799.0694705
52446-01,395487616.460878
52448-10,579426702.7966821
52451-07,514396747.4047828
52454-04,461347064.8295031
52457-01,419606802.23720133
52459-09,278721674.9221112
52462-06,384206326.4706804
52465-03,287781334.51701576
52467-12,354087627.1696612
52470-09,417724468.8873568
52473-06,263123750.4671724
52476-03,240576054.91572312
52478-11,308410443.6592152
52481-08,502548376.20946366
52484-05,320576525.3553498
52487-02,525344876.6999235
52489-11,447640493.54432976
52492-08,352238898.7694825
52495-05,208410250.50959367
52498-01,285591381.4915314
52500-10,396614086.7962699
52503-07,421789086.45494735
52506-04,360201683.49480516
52509-01,395883667.0248003
52511-10,256360345.57676795
52514-07,206628105.36278892
52517-03,238521988.0313255
52519-12,325297289.27265835
52522-09,563360524.7994282
52525-06,457776105.6155714
52528-03,494282948.7336824
52530-12,419240263.5218282
52533-09,391431695.7168218
52536-05,644607634.4817771
52539-02,1580355372.0991795
52541-11,1065375500.1891888
