time,Open,High,Low,Close,VolumeFrom,VolumeTo
2024-11-26,3414.86,3463.14,3253.0,3323.46,1228456.09,4105940785.22
2024-11-27,3323.46,3688.67,3300.95,3657.71,1089769.54,3826715224.77
2024-11-28,3657.71,3665.49,3530.59,3579.62,676354.04,2431980739.66
2024-11-29,3579.62,3649.37,3535.89,3593.72,638222.65,2294777437.53
2024-11-30,3593.72,3740.88,3569.68,3706.22,602183.58,2207693328.33
2024-12-01,3706.22,3748.69,3661.41,3710.38,615049.12,2280739856.71
2024-12-02,3710.38,3763.68,3556.46,3644.73,1050376.87,3830838282.74
2024-12-03,3644.73,3670.83,3502.19,3617.6,957760.15,3438318051.88
2024-12-04,3617.6,3896.39,3617.49,3845.15,1491705.74,5638336910.75
2024-12-05,3845.15,3960.04,3682.13,3789.23,1530990.47,5910223747.31
2024-12-06,3789.23,4095.77,3781.72,4005.27,1111693.25,4407628437.66
2024-12-07,4005.27,4030.6,3973.34,4000.53,377746.89,1511812189.23
2024-12-08,4000.53,4018.61,3925.98,4007.11,352808.68,1406686505.66
2024-12-09,4007.11,4008.95,3518.41,3714.19,1331815.99,5064825849.26
2024-12-10,3714.19,3782.03,3516.11,3630.62,1532770.64,5597783203.75
2024-12-11,3630.62,3851.87,3564.93,3834.97,846033.64,3159616884.11
2024-12-12,3834.97,3989.26,3800.06,3882.65,992205.5,3885860560.96
2024-12-13,3882.65,3969.42,3854.19,3907.67,671079.01,2626819579.66
2024-12-14,3907.67,3945.69,3824.52,3869.58,407410.26,1580739900.2
2024-12-15,3869.58,3973.82,3831.25,3957.8,401077.22,1561831736.65
2024-12-16,3957.8,4109.05,3882.18,3987.5,952417.89,3800570708.81
2024-12-17,3987.5,4041.72,3848.18,3893.55,786202.61,3116969165.01
2024-12-18,3893.55,3906.34,3615.92,3624.67,1372709.16,5182260876.45
2024-12-19,3624.67,3718.21,3324.98,3414.47,1830425.9,6434804570.5
2024-12-20,3414.47,3497.41,3097.02,3470.82,2219323.99,7390121010.87
2024-12-21,3470.82,3553.59,3291.33,3337.38,1155916.14,3923463162.61
2024-12-22,3337.38,3400.67,3217.99,3278.9,1040424.92,3448396650.54
2024-12-23,3278.9,3462.33,3214.22,3418.24,1490422.32,4956901207.6
2024-12-24,3418.24,3537.95,3353.25,3491.08,786958.56,2711580953.17
2024-12-25,3491.08,3544.38,3437.73,3494.17,491620.39,1709235407.44
2024-12-26,3494.17,3512.4,3301.29,3331.04,763125.04,2568515605.11
2024-12-27,3331.04,3438.15,3302.29,3328.67,853759.31,2858674867.14
2024-12-28,3328.67,3421.63,3317.24,3397.86,387541.31,1304303831.05
2024-12-29,3397.86,3408.15,3319.97,3350.43,378550.32,1272748683.17
2024-12-30,3350.43,3430.01,3297.17,3356.45,941507.45,3169278070.97
2024-12-31,3356.45,3446.75,3310.44,3331.15,657646.83,2216564705.88
2025-01-01,3331.15,3367.25,3307.9,3353.28,435980.05,1456285978.13
2025-01-02,3353.28,3501.88,3347.42,3452.59,636086.97,2190668108.25
2025-01-03,3452.59,3629.72,3420.39,3607.83,573464.49,2032387048.39
2025-01-04,3607.83,3670.74,3571.37,3656.45,344694.11,1249248939.8
2025-01-05,3656.45,3674.88,3593.38,3635.29,266362.47,966999828.9
2025-01-06,3635.29,3745.42,3610.01,3688.83,656886.99,2412844220.17
2025-01-07,3688.83,3702.31,3355.66,3380.43,1018302.92,3552335338.04
2025-01-08,3380.43,3414.51,3206.56,3326.54,1153190.37,3829595997.28
2025-01-09,3326.54,3356.53,3157.37,3219.05,910975.51,2966166459.79
2025-01-10,3219.05,3321.87,3194.45,3266.41,761483.53,2481338284.36
2025-01-11,3266.41,3318.86,3217.1,3281.96,203414.68,664675634.73
2025-01-12,3281.96,3298.43,3223.43,3266.23,207030.12,676543393.41
2025-01-13,3266.23,3336.51,2914.43,3136.46,1280425.97,3948458235.06
2025-01-14,3136.46,3256.06,3124.84,3224.35,620405.54,1982744482.39
2025-01-15,3224.35,3474.83,3185.43,3451.52,648861.59,2156251132.13
2025-01-16,3451.52,3460.18,3264.33,3307.52,676527.58,2258742497.1
2025-01-17,3307.52,3526.53,3307.3,3475.27,665412.16,2278124769.58
2025-01-18,3475.27,3495.59,3225.3,3304.42,692333.48,2293358355.85
2025-01-19,3304.42,3445.08,3125.79,3210.82,1498939.76,4948749700.72
2025-01-20,3210.82,3447.33,3139.52,3280.4,916417.88,3025203965.59
2025-01-21,3280.4,3367.68,3201.27,3327.64,1285042.36,4216565840.14
2025-01-22,3327.64,3365.8,3220.94,3241.51,789270.59,2597057853.09
2025-01-23,3241.51,3349.16,3181.65,3338.7,1191552.39,3870959343.56
2025-01-24,3338.7,3429.38,3275.03,3309.74,872425.0,2931545154.51
2025-01-25,3309.74,3350.1,3268.95,3318.45,390644.39,1294651424.39
2025-01-26,3318.45,3361.69,3228.27,3231.79,344823.13,1138712496.56
2025-01-27,3231.79,3253.33,3019.62,3181.65,1946485.97,6075617480.89
2025-01-28,3181.65,3223.46,3038.14,3075.83,810050.82,2551321738.16
2025-01-29,3075.83,3181.8,3053.79,3114.1,979425.36,3051953842.97
2025-01-30,3114.1,3283.81,3090.57,3247.4,663385.4,2141545334.07
2025-01-31,3247.4,3438.39,3213.28,3300.04,942571.25,3137634613.96
2025-02-01,3300.04,3330.53,3100.98,3116.61,641936.96,2067824306.72
2025-02-02,3116.61,3162.42,2748.46,2869.16,1664866.72,4960751902.11
2025-02-03,2869.16,2923.86,2135.28,2883.08,2309801.7,6124107763.07
2025-02-04,2883.08,2891.59,2630.1,2732.09,2250660.33,6237893049.87
2025-02-05,2732.09,2828.52,2699.66,2788.52,1561075.32,4311232133.14
2025-02-06,2788.52,2859.03,2655.84,2686.96,1412060.12,3877331053.84
2025-02-07,2686.96,2799.25,2562.54,2622.67,1450026.8,3904068262.75
2025-02-08,2622.67,2668.42,2588.23,2632.76,745326.75,1955926148.07
2025-02-09,2632.76,2697.47,2523.01,2627.84,706455.13,1853022022.23
2025-02-10,2627.84,2694.65,2560.51,2661.94,819336.22,2166236414.19
2025-02-11,2661.94,2725.63,2560.02,2602.22,811259.68,2150279945.38
2025-02-12,2602.22,2796.27,2547.78,2738.57,1047046.99,2757693674.05
